@relation 'german_credit-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replacecredit-Rlast-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc5-Rlast-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc9-Rlast-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc19-Rlast-weka.filters.unsupervised.attribute.Discretize-B20-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDiscPKIDiscretize-Rlast-weka.filters.unsupervised.attribute.PKIDiscretize-Rlast-weka.filters.unsupervised.attribute.PKIDiscretize-Rlast-weka.filters.unsupervised.attribute.MergeTwoValues-C14-Ffirst-S2-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank_stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute credit {good,bad}
@attribute ageDisc5 {'\'(-inf-28.333333]\'','\'(28.333333-37.666667]\'','\'(37.666667-47]\'','\'(47-56.333333]\'','\'(56.333333-65.666667]\'','\'(65.666667-inf)\''}
@attribute ageDisc9 {'\'(-inf-24.6]\'','\'(24.6-30.2]\'','\'(30.2-35.8]\'','\'(35.8-41.4]\'','\'(41.4-47]\'','\'(47-52.6]\'','\'(52.6-58.2]\'','\'(58.2-63.8]\'','\'(63.8-69.4]\'','\'(69.4-inf)\''}
@attribute ageDisc19 {'\'(-inf-21.8]\'','\'(21.8-24.6]\'','\'(24.6-27.4]\'','\'(27.4-30.2]\'','\'(30.2-33]\'','\'(33-35.8]\'','\'(35.8-38.6]\'','\'(38.6-41.4]\'','\'(41.4-44.2]\'','\'(44.2-47]\'','\'(47-49.8]\'','\'(49.8-52.6]\'','\'(52.6-55.4]\'','\'(55.4-58.2]\'','\'(58.2-61]\'','\'(61-63.8]\'','\'(63.8-66.6]\'','\'(66.6-69.4]\'','\'(69.4-72.2]\'','\'(72.2-inf)\''}
@attribute ageDiscPKIDiscretize {'\'(-inf-21.5]\'','\'(21.5-22.5]\'','\'(22.5-23.5]\'','\'(23.5-24.5]\'','\'(24.5-25.5]\'','\'(25.5-26.5]\'','\'(26.5-27.5]\'','\'(27.5-28.5]\'','\'(28.5-29.5]\'','\'(29.5-30.5]\'','\'(30.5-31.5]\'','\'(31.5-32.5]\'','\'(32.5-33.5]\'','\'(33.5-34.5]\'','\'(34.5-35.5]\'','\'(35.5-36.5]\'','\'(36.5-37.5]\'','\'(37.5-38.5]\'','\'(38.5-39.5]\'','\'(39.5-40.5]\'','\'(40.5-41.5]\'','\'(41.5-42.5]\'','\'(42.5-44.5]\'','\'(44.5-46.5]\'','\'(46.5-48.5]\'','\'(48.5-50.5]\'','\'(50.5-53.5]\'','\'(53.5-56.5]\'','\'(56.5-60.5]\'','\'(60.5-64.5]\'','\'(64.5-inf)\''}

@data
<0,0.029412,'critical/other existing credit',0.050567,'no known savings',1,'male single',none,1,'real estate',0.857143,none,own,0.333333,skilled,0,yes,yes,good,'\'(65.666667-inf)\'','\'(63.8-69.4]\'','\'(66.6-69.4]\'','\'(64.5-inf)\''
0<=X<200,0.647059,'existing paid',0.31369,<100,0.333333,'female div/dep/mar',none,0.333333,'real estate',0.053571,none,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(21.5-22.5]\''
'no checking',0.117647,'critical/other existing credit',0.101574,<100,0.333333,'male single',none,0.666667,'real estate',0.535714,none,own,0,'unskilled resident',1,none,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(47-49.8]\'','\'(48.5-50.5]\''
<0,0.558824,'existing paid',0.419941,<100,0.333333,'male single',guarantor,1,'life insurance',0.464286,none,'for free',0,skilled,1,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(44.2-47]\'','\'(44.5-46.5]\''
<0,0.294118,'delayed previously',0.254209,<100,0.666667,'male single',none,1,'no known property',0.607143,none,'for free',0.333333,skilled,1,none,yes,bad,'\'(47-56.333333]\'','\'(52.6-58.2]\'','\'(52.6-55.4]\'','\'(50.5-53.5]\''
'no checking',0.470588,'existing paid',0.484483,'no known savings',0.333333,'male single',none,1,'no known property',0.285714,none,'for free',0,'unskilled resident',1,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
'no checking',0.294118,'existing paid',0.142236,500<=X<1000,0.666667,'male single',none,1,'life insurance',0.607143,none,own,0,skilled,0,none,yes,good,'\'(47-56.333333]\'','\'(52.6-58.2]\'','\'(52.6-55.4]\'','\'(50.5-53.5]\''
0<=X<200,0.470588,'existing paid',0.368548,<100,0.333333,'male single',none,0.333333,car,0.285714,none,rent,0,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
'no checking',0.117647,'existing paid',0.154561,>=1000,0.333333,'male div/sep',none,1,'real estate',0.75,none,own,0,'unskilled resident',0,none,yes,good,'\'(56.333333-65.666667]\'','\'(58.2-63.8]\'','\'(58.2-61]\'','\'(60.5-64.5]\''
0<=X<200,0.382353,'critical/other existing credit',0.274238,<100,1,'male mar/wid',none,0.333333,car,0.160714,none,own,0.333333,'high qualif/self emp/mgmt',0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(27.5-28.5]\''
0<=X<200,0.117647,'existing paid',0.0575,<100,0.666667,'female div/dep/mar',none,0,car,0.107143,none,rent,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
<0,0.647059,'existing paid',0.223286,<100,0.666667,'female div/dep/mar',none,1,'life insurance',0.089286,none,rent,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
0<=X<200,0.117647,'existing paid',0.072466,<100,0,'female div/dep/mar',none,0,car,0.053571,none,own,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(21.5-22.5]\''
<0,0.294118,'critical/other existing credit',0.052217,<100,1,'male single',none,1,car,0.732143,none,own,0.333333,'unskilled resident',0,none,yes,bad,'\'(56.333333-65.666667]\'','\'(58.2-63.8]\'','\'(58.2-61]\'','\'(56.5-60.5]\''
<0,0.161765,'existing paid',0.063442,<100,0.333333,'female div/dep/mar',none,1,car,0.160714,none,rent,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(27.5-28.5]\''
<0,0.294118,'existing paid',0.056784,100<=X<500,1,'female div/dep/mar',none,0.333333,car,0.232143,none,own,0,'unskilled resident',0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
